GISJOIN,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLOCKA,TOTAL_POP
G36011900089902,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0089,902,0
G36011900104406,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0104,406,0
G36011900104412,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0104,412,0
G36011900107142,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0107,142,3
G36011900107916,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0107,916,0
G3601190010901218,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,010901,218,0
G3601190010902301,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,010902,301,0
G3601190010902309,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,010902,309,0
G36011900110913,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0110,913,0
G36011900115604,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0115,604,0
G36011900117107,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0117,107,14
G36011900118222,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0118,222,0
G3601190011902342,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,011902,342,57
G3601190011902901,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,011902,901,0
G36011900120536,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0120,536,0
G36011900121636,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0121,636,136
G36011900122121,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,0122,121,11
G3601190012301207,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,012301,207,4
G3601190012301219,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,012301,219,193
G3601190012301220,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,012301,220,0
G3601190012301221,New York,36,"NEW YORK, N.Y.-N.J.",5600,Westchester,119,012301,221,27
