GISJOIN,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLOCKA
G3600850015601314,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,015601,314
G3600850016902225,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,016902,225
G36008500176124,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0176,124
G36008500177124,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0177,124
G3600850018902201,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,018902,201
G36008500219219,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0219,219
G36008500247112,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0247,112
G36008500247113,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0247,113
G36008500303313,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0303,313
G36008500323101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0323,101
G36008500323205,New York,36,"NEW YORK, N.Y.-N.J.",5600,Richmond,085,0323,205
G36008700105816,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0105,816
G36008700108341,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0108,341
G36008700111429,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0111,429
G36008700113122,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0113,122
G36008700113123,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0113,123
G36008700113640,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0113,640
G36008700117931,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0117,931
G36008700118121,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0118,121
G36008700118136,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0118,136
G36008700122111,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0122,111
G36008700122136,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0122,136
G36008700126206,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0126,206
G36008700127419,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0127,419
G36008700129313,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0129,313
G36008700129316,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0129,316
G36008700129434,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0129,434
G36008700129513,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0129,513
G36008700130213,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0130,213
G36008700130308,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0130,308
G36008700130317,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0130,317
G36008700130434,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0130,434
G36008700130530,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0130,530
G36008700134440,New York,36,"NEW YORK, N.Y.-N.J.",5600,Rockland,087,0134,440
G36010200138101,New York,36,"NEW YORK, N.Y.-N.J.",5600,Bronx,102,0138,101
G3601030112206331,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,112206,331
G3601030112207925,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,112207,925
G3601030112209925,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,112209,925
G36010301223910,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,1223,910
G3601030123401122,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123401,122
G3601030123401123,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123401,123
G3601030123402319,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123402,319
G3601030123402324,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123402,324
G3601030123402325,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123402,325
G3601030123402328,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123402,328
G3601030123701128,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,123701,128
G3601030124002104,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,124002,104
G3601030124002105,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,124002,105
G3601030134905206,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,134905,206
G3601030134905311,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,134905,311
G3601030135002219,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,135002,219
G3601030145601103,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145601,103
G3601030145601904,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145601,904
G3601030145601908,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145601,908
G3601030145803320,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145803,320
G3601030145803325,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145803,325
G3601030145803326,New York,36,"NASSAU-SUFFOLK, N.Y.",5380,Suffolk,103,145803,326
