ZIP Code,HUD Area Code,HUD Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
10570,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,340","$2,106","$2,574","$2,440","$2,196","$2,684","$2,700","$2,430","$2,970","$3,360","$3,024","$3,696","$3,630","$3,267","$3,993"
10573,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,500","$2,250","$2,750","$2,610","$2,349","$2,871","$2,890","$2,601","$3,179","$3,600","$3,240","$3,960","$3,890","$3,501","$4,279"
10576,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$3,060","$2,754","$3,366","$3,250","$2,925","$3,575","$3,630","$3,267","$3,993","$4,510","$4,059","$4,961","$4,880","$4,392","$5,368"
10577,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,650","$2,385","$2,915","$2,770","$2,493","$3,047","$3,070","$2,763","$3,377","$3,820","$3,438","$4,202","$4,130","$3,717","$4,543"
10578,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,980","$2,682","$3,278","$3,120","$2,808","$3,432","$3,450","$3,105","$3,795","$4,290","$3,861","$4,719","$4,640","$4,176","$5,104"
10579,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,560","$2,304","$2,816","$2,670","$2,403","$2,937","$2,960","$2,664","$3,256","$3,690","$3,321","$4,059","$3,980","$3,582","$4,378"
10580,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$3,350","$3,015","$3,685","$3,500","$3,150","$3,850","$3,870","$3,483","$4,257","$4,820","$4,338","$5,302","$5,200","$4,680","$5,720"
10583,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,880","$2,592","$3,168","$3,010","$2,709","$3,311","$3,330","$2,997","$3,663","$4,150","$3,735","$4,565","$4,480","$4,032","$4,928"
10587,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,270","$2,043","$2,497","$2,370","$2,133","$2,607","$2,620","$2,358","$2,882","$3,270","$2,943","$3,597","$3,520","$3,168","$3,872"
10588,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,150","$1,935","$2,365","$2,250","$2,025","$2,475","$2,490","$2,241","$2,739","$3,100","$2,790","$3,410","$3,350","$3,015","$3,685"
10589,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$3,350","$3,015","$3,685","$3,500","$3,150","$3,850","$3,870","$3,483","$4,257","$4,820","$4,338","$5,302","$5,200","$4,680","$5,720"
10590,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,900","$2,610","$3,190","$3,030","$2,727","$3,333","$3,350","$3,015","$3,685","$4,180","$3,762","$4,598","$4,500","$4,050","$4,950"
10591,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,280","$2,052","$2,508","$2,380","$2,142","$2,618","$2,630","$2,367","$2,893","$3,280","$2,952","$3,608","$3,540","$3,186","$3,894"
10594,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,440","$2,196","$2,684","$2,550","$2,295","$2,805","$2,820","$2,538","$3,102","$3,510","$3,159","$3,861","$3,790","$3,411","$4,169"
10595,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,260","$2,034","$2,486","$2,360","$2,124","$2,596","$2,610","$2,349","$2,871","$3,250","$2,925","$3,575","$3,510","$3,159","$3,861"
10596,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,080","$1,872","$2,288","$2,170","$1,953","$2,387","$2,400","$2,160","$2,640","$2,990","$2,691","$3,289","$3,230","$2,907","$3,553"
10597,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,810","$2,529","$3,091","$2,940","$2,646","$3,234","$3,250","$2,925","$3,575","$4,050","$3,645","$4,455","$4,370","$3,933","$4,807"
10598,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,600","$2,340","$2,860","$2,710","$2,439","$2,981","$3,000","$2,700","$3,300","$3,740","$3,366","$4,114","$4,030","$3,627","$4,433"
10601,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,670","$2,403","$2,937","$2,790","$2,511","$3,069","$3,090","$2,781","$3,399","$3,850","$3,465","$4,235","$4,150","$3,735","$4,565"
10602,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,270","$2,043","$2,497","$2,370","$2,133","$2,607","$2,620","$2,358","$2,882","$3,270","$2,943","$3,597","$3,520","$3,168","$3,872"
10603,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,400","$2,160","$2,640","$2,500","$2,250","$2,750","$2,770","$2,493","$3,047","$3,450","$3,105","$3,795","$3,720","$3,348","$4,092"
10604,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,600","$2,340","$2,860","$2,720","$2,448","$2,992","$3,010","$2,709","$3,311","$3,750","$3,375","$4,125","$4,050","$3,645","$4,455"
10605,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,530","$2,277","$2,783","$2,640","$2,376","$2,904","$2,920","$2,628","$3,212","$3,640","$3,276","$4,004","$3,930","$3,537","$4,323"
10606,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,800","$2,520","$3,080","$2,920","$2,628","$3,212","$3,230","$2,907","$3,553","$4,030","$3,627","$4,433","$4,340","$3,906","$4,774"
10607,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,470","$2,223","$2,717","$2,570","$2,313","$2,827","$2,850","$2,565","$3,135","$3,550","$3,195","$3,905","$3,830","$3,447","$4,213"
10701,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,170","$1,953","$2,387","$2,270","$2,043","$2,497","$2,510","$2,259","$2,761","$3,130","$2,817","$3,443","$3,370","$3,033","$3,707"
10702,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,270","$2,043","$2,497","$2,370","$2,133","$2,607","$2,620","$2,358","$2,882","$3,270","$2,943","$3,597","$3,520","$3,168","$3,872"
10703,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$1,940","$1,746","$2,134","$2,020","$1,818","$2,222","$2,240","$2,016","$2,464","$2,790","$2,511","$3,069","$3,010","$2,709","$3,311"
10704,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,210","$1,989","$2,431","$2,300","$2,070","$2,530","$2,550","$2,295","$2,805","$3,180","$2,862","$3,498","$3,430","$3,087","$3,773"
10705,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,190","$1,971","$2,409","$2,280","$2,052","$2,508","$2,530","$2,277","$2,783","$3,150","$2,835","$3,465","$3,400","$3,060","$3,740"
10706,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,470","$2,223","$2,717","$2,580","$2,322","$2,838","$2,860","$2,574","$3,146","$3,560","$3,204","$3,916","$3,850","$3,465","$4,235"
10707,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,930","$2,637","$3,223","$3,060","$2,754","$3,366","$3,390","$3,051","$3,729","$4,220","$3,798","$4,642","$4,560","$4,104","$5,016"
10708,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,420","$2,178","$2,662","$2,530","$2,277","$2,783","$2,800","$2,520","$3,080","$3,490","$3,141","$3,839","$3,760","$3,384","$4,136"
10709,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,470","$2,223","$2,717","$2,580","$2,322","$2,838","$2,860","$2,574","$3,146","$3,560","$3,204","$3,916","$3,850","$3,465","$4,235"
10710,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,090","$1,881","$2,299","$2,190","$1,971","$2,409","$2,420","$2,178","$2,662","$3,020","$2,718","$3,322","$3,250","$2,925","$3,575"
10801,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,220","$1,998","$2,442","$2,320","$2,088","$2,552","$2,570","$2,313","$2,827","$3,200","$2,880","$3,520","$3,460","$3,114","$3,806"
10802,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,270","$2,043","$2,497","$2,370","$2,133","$2,607","$2,620","$2,358","$2,882","$3,270","$2,943","$3,597","$3,520","$3,168","$3,872"
10803,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,540","$2,286","$2,794","$2,650","$2,385","$2,915","$2,930","$2,637","$3,223","$3,650","$3,285","$4,015","$3,940","$3,546","$4,334"
10804,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,670","$2,403","$2,937","$2,790","$2,511","$3,069","$3,090","$2,781","$3,399","$3,850","$3,465","$4,235","$4,150","$3,735","$4,565"
10805,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,220","$1,998","$2,442","$2,320","$2,088","$2,552","$2,570","$2,313","$2,827","$3,200","$2,880","$3,520","$3,460","$3,114","$3,806"
10901,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,220","$1,998","$2,442","$2,320","$2,088","$2,552","$2,570","$2,313","$2,827","$3,200","$2,880","$3,520","$3,460","$3,114","$3,806"
10911,METRO35620MM5600,"New York, NY HUD Metro FMR Area","$2,910","$2,619","$3,201","$2,990","$2,691","$3,289","$3,360","$3,024","$3,696","$4,190","$3,771","$4,609","$4,510","$4,059","$4,961"
