"GEO_ID","NAME","P8_001N","P8_002N","P8_003N","P8_004N","P8_005N","P8_006N","P8_007N","P8_008N","P8_009N","P8_010N","P8_011N","P8_012N","P8_013N","P8_014N","P8_015N","P8_016N","P8_017N","P8_018N","P8_019N","P8_020N","P8_021N","P8_022N","P8_023N","P8_024N","P8_025N","P8_026N","P8_027N","P8_028N","P8_029N","P8_030N","P8_031N","P8_032N","P8_033N","P8_034N","P8_035N","P8_036N","P8_037N","P8_038N","P8_039N","P8_040N","P8_041N","P8_042N","P8_043N","P8_044N","P8_045N","P8_046N","P8_047N","P8_048N","P8_049N","P8_050N","P8_051N","P8_052N","P8_053N","P8_054N","P8_055N","P8_056N","P8_057N","P8_058N","P8_059N","P8_060N","P8_061N","P8_062N","P8_063N","P8_064N","P8_065N","P8_066N","P8_067N","P8_068N","P8_069N","P8_070N","P8_071N",
"860Z200US13037","ZCTA5 13037","9230","8732","8476","77","38","84","0","57","498","481","70","139","43","1","213","2","0","0","6","0","0","2","5","0","0","15","13","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0",
"860Z200US13039","ZCTA5 13039","17485","16569","15640","398","77","334","4","116","916","877","103","227","121","2","378","13","4","3","14","2","0","3","1","6","0","35","13","8","0","6","2","0","1","1","0","0","0","0","3","0","0","0","0","0","1","0","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13040","ZCTA5 13040","2507","2342","2294","15","5","6","0","22","165","159","15","61","5","2","75","0","0","0","0","0","0","1","0","0","0","5","1","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13041","ZCTA5 13041","11724","11011","9911","523","38","442","1","96","713","673","153","188","62","2","251","4","2","1","8","0","0","0","1","0","1","36","12","2","0","16","0","0","3","2","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13042","ZCTA5 13042","2447","2313","2277","7","6","16","0","7","134","133","12","65","10","0","45","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13044","ZCTA5 13044","2506","2370","2336","5","8","4","0","17","136","132","11","54","10","0","57","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13045","ZCTA5 13045","28406","26749","24222","813","83","959","10","662","1657","1592","360","463","116","9","589","18","1","1","22","2","0","3","5","0","3","51","19","4","1","8","3","0","5","9","0","0","0","0","1","0","1","0","0","0","0","0","8","1","0","3","1","0","0","0","0","0","0","0","0","0","3","0","5","4","1","0","0","0","0","1","1",
"860Z200US13051","ZCTA5 13051","111","102","101","0","0","1","0","0","9","9","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13052","ZCTA5 13052","1653","1585","1551","10","3","2","0","19","68","64","10","35","1","0","17","0","0","0","1","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"860Z200US13053","ZCTA5 13053","4605","4242","3888","221","19","56","0","58","363","341","63","98","43","2","126","5","2","0","1","0","0","1","0","0","0","19","11","0","2","1","2","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13054","ZCTA5 13054","1388","1323","1291","9","19","1","0","3","65","60","2","19","2","2","35","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13057","ZCTA5 13057","14676","13789","12595","533","90","401","2","168","887","834","201","207","74","2","306","14","1","0","18","0","0","3","4","4","0","46","18","2","0","8","6","0","7","2","1","0","0","0","1","0","1","0","0","0","0","0","6","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"860Z200US13060","ZCTA5 13060","2584","2437","2372","8","7","16","1","33","147","143","21","43","7","0","68","0","0","1","0","0","0","2","1","0","0","4","2","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"860Z200US13061","ZCTA5 13061","987","930","913","3","2","3","0","9","57","48","1","9","3","0","34","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
